Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,8,1024,1,9403.09684691433,1.7122052000195254,1026,1024,True,0.1283113329185507,0.6000000000000001,0.5940339486969939,13225.70094579008,0.0065141999803017,0.2647795000229962,20,0
birb,8,1024,2,8301.05448342585,1.7312725999800025,1026,1024,True,0.0951442657626899,0.5,0.7611541261015199,17836.149173394846,0.0084478000062517,0.2596771999960765,20,0
birb,8,1024,3,9191.44718264818,1.7215205999964382,1026,1024,True,0.1186320379314773,0.5,0.9490563034518184,14304.797816224533,0.0032667000195942,0.273870299977716,20,0
birb,8,1024,4,8240.092256878734,1.7112486000114586,1026,1024,True,0.0998548704207954,0.5,0.7988389633663633,16994.73756247597,0.0099523999961093,0.2599674999946728,20,0
birb,8,4096,0,8967.453488061718,3.805911000003107,4102,4096,True,0.0068616728487813,0.2,0.857709106097664,15018.695148019997,0.0221732999780215,0.2731732999964151,20,0
birb,8,4096,1,8710.530942151969,3.811260499991477,4102,4096,True,0.0077919025345946,0.2,0.9739878168243298,13225.70094579008,0.0224483000056352,0.2733124000078533,20,0
birb,8,4096,2,8193.736015768836,3.789878000010504,4102,4096,True,0.0057777814997763,0.2,0.7222226874720469,17836.149173394846,0.0230608999845571,0.2628177000151481,20,0
birb,8,4096,3,8267.578504452553,3.76775520000956,4102,4096,True,0.0072041124974453,0.2,0.9005140621806715,14304.797816224533,0.0219987999880686,0.2648348000075202,20,0
birb,8,4096,4,8835.6565475716,3.900324700021884,4102,4096,True,0.0060638401942041,0.2,0.7579800242755158,16994.73756247597,0.019003800000064,0.2486069000151474,20,0
birb,16,64,0,6452.652601589607,1.7325926000194158,67,64,True,162.126300541118,5.5,0.9744631136956756,7119.536409073434,0.0014123999862931,0.4901697000022977,20,0
birb,16,64,1,5952.692461827445,1.80818900000304,67,64,True,153.31404869124887,5.4,0.9736450788195958,7528.756232218377,0.0014391000149771,0.4923819999967236,20,0
birb,16,64,2,6094.015108625105,1.741614600003231,67,64,True,152.26156251981348,5.4,0.9669610991706896,7580.797677816224,0.0015367000014521,0.4860691000067163,20,0
birb,16,64,3,5785.541090123001,1.7390106999955606,67,64,True,171.99197694566666,5.6000000000000005,0.9793639357784406,6711.150834294503,0.0029641999863088,0.4883557000139262,20,0
birb,16,64,4,5867.317297266526,1.7562491999997292,67,64,True,168.68763651526658,5.6000000000000005,0.9605482217751602,6842.612318339099,0.0014046999858692,0.471876900002826,20,0
birb,16,128,0,6001.789069323291,1.802613500010921,129,128,True,29.28521183035072,3.1,0.9830221150800816,7119.536409073434,0.0018211999849881,0.4942055999999866,20,0
birb,16,128,1,5326.718773828708,1.85495120001724,129,128,True,27.69343639808292,3.1,0.9295906951120444,7528.756232218377,0.002191399980802,0.4757711999991443,20,0
birb,16,128,2,4997.222599134925,1.833778500003973,129,128,True,27.50332362565717,3.1,0.9232091445623568,7580.797677816224,0.0019795999978668,0.4796935000049416,20,0
birb,16,128,3,6137.543904345116,1.837460499984445,129,128,True,31.06726953716693,3.2,0.948097825230924,6711.150834294503,0.002790400001686,0.5130583000136539,20,0
birb,16,128,4,5303.925450922523,1.8423815999994984,129,128,True,30.470399633018857,3.2,0.929882801300624,6842.612318339099,0.0029315000283531,0.4823146999988239,20,0
birb,16,256,0,5078.834424188643,1.9719814999843948,262,256,True,7.156357150505043,2.0,0.8945446438131304,7119.536409073434,0.0037255000206641,0.4834168000088539,20,0
birb,16,256,1,5012.717861623533,1.884198199986713,262,256,True,6.7673787964232,1.9,0.9866421922179908,7528.756232218377,0.0032950000022538,0.4945809000055305,20,0
birb,16,256,2,5438.476337524768,2.198728499992285,262,256,True,6.720921393067788,1.9,0.9798689886379628,7580.797677816224,0.0044919000065419,0.508672399999341,20,0
birb,16,256,3,4757.981155141531,2.253814600000624,262,256,True,7.5918343287704815,2.0,0.9489792910963102,6711.150834294503,0.0032300000020768,0.5207125000015367,20,0
birb,16,256,4,4630.405685489948,2.0509706999873742,262,256,True,7.445978658297085,2.0,0.9307473322871356,6842.612318339099,0.0039611000102013,0.5016951999859884,20,0
birb,16,512,0,4457.577300371889,2.0657924999832176,517,512,True,2.100238036268945,1.3,0.9559572308916452,7119.536409073434,0.0080881000030785,0.4943861000065226,20,0
birb,16,512,1,4458.109046093351,2.127040699997451,517,512,True,1.9860811939891647,1.3,0.9039969021343488,7528.756232218377,0.0065247000020463,0.4896798999980092,20,0
birb,16,512,2,4590.805987591504,2.054868399980478,517,512,True,1.972446937964584,1.3,0.8977910505073209,7580.797677816224,0.0068840000021737,0.4873147000034805,20,0
birb,16,512,3,4778.067412802698,2.079502700013109,517,512,True,2.228041290702046,1.4,0.8119684004016201,6711.150834294503,0.0040417999844066,0.4889993999968283,20,0
birb,16,512,4,4648.155447556901,2.1246617999859154,517,512,True,2.1852357654199386,1.3,0.9946453188074368,6842.612318339099,0.0087142999982461,0.4950730999989901,20,0
